Loan Date,Lender,Block,Street Direction,Street Name,Street Type,City,State,Zip,Ward,Industry,Latitude,Longitude,Location
04/24/2014,Accion,,,,,Chicago,IL,60621,,Other Services,,,
12/12/2014,Accion,101XX,S,Lafayette,Street,Chicago,IL,60628,9,Construction/Repair,41.709285897,-87.624925274,"(41.7092858973584, -87.62492527406924)"
09/06/2013,Accion,101XX,S,S,Lafayette,Chicago,IL,60628,9,Construction/Repair,,,
10/08/2015,WBDC,010XX,E,43rd ,Street,Chicago,IL,60653,4,Retail Sales - Other,41.817000516,-87.599814358,"(41.817000515731735, -87.59981435844077)"
11/20/2014,Accion,010XX,E,76th,Street,Chicago,IL,60619,8,Beauty/Salon Services,41.75705433,-87.598819545,"(41.75705432976649, -87.59881954520198)"
07/29/2013,Accion,010XX,E,76th,Street,Chicago,IL,60619,8,Beauty/Salon Services,41.75705433,-87.598819545,"(41.75705432976649, -87.59881954520198)"
02/18/2015,Accion,010XX,N,California,Avenue,Chicago,IL,60622,26,Restaurant - Full Service,41.900760711,-87.696975027,"(41.90076071102569, -87.6969750268571)"
08/08/2013,WBDC,010XX,S,Western,Avenue,Chicago,IL,60612,25,Retail Sales - Other,41.868456183,-87.686235717,"(41.868456183272436, -87.6862357173699)"
05/15/2015,WBDC,010XX,S,Western,Avenue,Chicago,IL,60612,25,Retail Sales - Other,41.868456183,-87.686235717,"(41.868456183272436, -87.6862357173699)"
11/10/2014,Accion,106XX,S,Halsted,Street,Chicago,IL,60628,34,Day Care,41.69995513,-87.642763331,"(41.69995513017958, -87.64276333101112)"
09/10/2015,CNI,106XX,S,Yates,Avenue,Chicago,IL,60617,41,Other Services,41.701271823,-87.564135629,"(41.70127182319375, -87.56413562869531)"
10/30/2013,CNI,107XX,S,Eberhart,Street,Chicago,IL,60628,9,Transportation,41.698513608,-87.611230373,"(41.69851360795925, -87.61123037310675)"
08/13/2013,CNI,108XX,S,King Drive,Avenue,Chicago,IL,60628,9,Food/Beverage,,,
01/11/2013,CNI,108XX,S,Langley,Avenue,Chicago,IL,60628,9,Transportation,41.696425687,-87.606214973,"(41.69642568689714, -87.60621497304894)"
10/07/2013,CNI,108XX,S,Langley,Street,Chicago,IL,60628,9,Transportation,41.696425687,-87.606214973,"(41.69642568689714, -87.60621497304894)"
11/06/2014,Accion,111XX,S,Longwood,Drive,Chicago,IL,60643,19,Professional/Off Svc,41.690441874,-87.672331394,"(41.69044187443449, -87.67233139407176)"
10/20/2014,Accion,111XX,S,Western,Avenue,Chicago,IL,60643,19,Medical Services,41.690214082,-87.681251795,"(41.69021408154776, -87.68125179470638)"
